citizen,agedef,age,unit,sex,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
TOTAL,COMPLET,TOTAL,NR,T,AT	73772 	69295 	70978 	82230 	91557 	101866 	116262 	166323 	129509 	111801 	105633 	109167 
TOTAL,COMPLET,TOTAL,NR,T,BE	: 	: 	135281 b	147377 b	129477 	120078 	123158 	146626 	123702 	126703 	137860 	150006 
TOTAL,COMPLET,TOTAL,NR,T,BG	: 	: 	: 	: 	14103 bp	18570 p	26615 p	25223 p	21241 	25597 p	29559 p	37929 p
TOTAL,COMPLET,TOTAL,NR,T,CH	184297 	160623 	161778 	148799 b	149051 	160157 	156282 	153627 	149305 	143377 	144857 	145129 
TOTAL,COMPLET,TOTAL,NR,T,CY	21060 	22581 b	20206 	23037 	17476 	13149 	9212 	15183 	17391 	21306 	23442 	26170 
TOTAL,COMPLET,TOTAL,NR,T,CZ	108267 b	75620 	48317 	27114 b	34337 	30124 b	29897 	29602 	64083 	51847 	65910 	105888 
TOTAL,COMPLET,TOTAL,NR,T,DE	682146 	346216 b	404055 	489422 	592175 	692713 	884893 e	1571047 e	1029852 b	917109 be	893886 be	886341 be
TOTAL,COMPLET,TOTAL,NR,T,DK	57357 b	51800 	52236 	52833 	54409 	60312 	68388 	78492 	74383 	68579 	64669 	61384 
TOTAL,COMPLET,TOTAL,NR,T,EE	3671 	3884 	2810 	3709 	2639 	4109 	3904 	15413 b	14822 	17616 	17547 	18259 
TOTAL,COMPLET,TOTAL,NR,T,EL	66529 	58613 	60462 	60089 b	58200 	57946 	59013 	64446 b	116867 b	112247 	119489 	129459 
TOTAL,COMPLET,TOTAL,NR,T,ES	599075 b	392962 	360705 	371331 	304053 	280772 	305454 	342114 	414746 	532132 	643684 	750480 
TOTAL,COMPLET,TOTAL,NR,T,FI	29114 	26699 	25636 	29481 	31278 	31941 	31507 	28746 	34905 	31797 	31106 	32758 
TOTAL,COMPLET,TOTAL,NR,T,FR	296608 	296970 	307111 b	319816 	327431 	338752 	340383 	364221 	377709 	369621 	387158 	385591 
TOTAL,COMPLET,TOTAL,NR,T,HR	16883 b	13213 	8846 	8534 	8959 	10378 	10638 	11706 	13985 	15553 	26029 	37726 
TOTAL,COMPLET,TOTAL,NR,T,HU	37652 b	27894 	25519 b	28018 	33702 	38968 	54581 	58344 	53618 	68070 	82937 	88581 
TOTAL,COMPLET,TOTAL,NR,T,IE	82592 	50604 	52339 	57292 b	61324 	65539 	73519 	80792 	85185 	78499 	97712 	85630 
TOTAL,COMPLET,TOTAL,NR,T,IS	10288 	3921 b	3948 	4073 	4960 	6406 	5368 	5635 	8710 	12116 	11830 	9872 
TOTAL,COMPLET,TOTAL,NR,T,IT	534712 	442940 	458856 	385793 	350772 	307454 	277631 	280078 	300823 	343440 	332324 	332778 
TOTAL,COMPLET,TOTAL,NR,T,LI	578 b	584 	591 	650 	671 	696 	615 	657 	607 	645 	649 	727 
TOTAL,COMPLET,TOTAL,NR,T,LT	9297 	6487 	5213 	15685 	19843 	22011 	24294 	22130 	20162 	20368 	28914 	40067 
TOTAL,COMPLET,TOTAL,NR,T,LU	17758 	15751 	16962 	20268 	20478 	21098 	22332 	23803 	22888 	24379 	24644 	26668 
TOTAL,COMPLET,TOTAL,NR,T,LV	4678 	3731 	4011 	10234 	13303 	8299 	10365 	9479 	8345 	9916 	10909 	11223 
TOTAL,COMPLET,TOTAL,NR,T,ME	: 	: 	5749 	6025 	5727 	5112 	5353 	4553 	4904 	6684 	8643 	10737 
TOTAL,COMPLET,TOTAL,NR,T,MK	1052 	857 	1359 	1464 	1715 	2050 	1935 	1741 	2262 	2064 	2053 	2118 
TOTAL,COMPLET,TOTAL,NR,T,MT	6043 	6161 	4275 	5465 	8256 	10897 	14454 	16936 	17051 	21676 	26444 	28341 
TOTAL,COMPLET,TOTAL,NR,T,NL	143516 	122917 b	126776 	130118 	124566 	129428 	145323 	166872 	189232 	189646 	194306 	215756 
TOTAL,COMPLET,TOTAL,NR,T,NO	58123 b	55953 	69214 	70337 	69908 	68313 	66903 	60816 	61460 	53351 	47864 	48680 
